user_name,following,follower,n_likes
['coastal_airbnbs'],5352,13.2K,110.2K
['visitkristinestad'],14,929,7300
['cassinnash'],71,96,3784
['exploringafricasafaris'],4800,15.2K,172.5K
['for.rest.glamping'],14,350,585
['livingrooted'],895,1464,6440
['shopsilverlight'],5118,5331,40.1K
['clickandgo_holidays'],110,45.3K,144.8K
['pikaialodge'],9,388,4155
['habitat.renova'],78,552,3451
['planetconservation_'],63,143,2540
['visitkristinestad'],14,929,7300
['goinggreenmedia'],2723,57.1K,310.9K
['annathingbutanimals'],364,97.8K,8.7M
['sustainablefashiontalks'],11,1017,7911
['srilankanhotels'],3,3457,9045
['vegansofzuri'],59,226,2018
['olivestonefarmcottages'],0,177,638
['elliottontheroad'],16,1141,9235
['capt_kika'],19,4784,28.9K
['cwetravel'],1454,1360,21.2K
['jhanneu'],258,10.3K,231.7K
['chargeholidays'],170,186,7509
['therailvoyage'],146,2015,80.8K
['twinstravelsecrets'],645,2150,155.3K
['vueling'],170,119.2K,770.2K
['lauraabornstein'],781,55.4K,1M
['briannemwest'],1015,28.2K,593.7K
['redbus_my'],2,14.1K,38.4K
['casasahilgt'],227,558,2681
['srl.lanka.airport'],13,7430,42.8K
['lanyulaculturalvillage'],9983,22.7K,166.7K
['upupandgrow_'],5,70,2784
['worldpackers'],1169,213.4K,2.3M
['dreamartphotographykandy'],2,10.3K,160.2K
['visitpuumala'],272,2226,103.1K
['orangutantour'],9751,40.3K,1.1M
['rukh_inlux'],1,380,3474
['hotelplantacion'],54,388,4173
['secret.retreats'],3,45,786
['portugalgreat'],2025,1919,6939
['transportactionnetwork'],10,73,1806
['worldpackers'],1169,213.4K,2.3M
['travelwthb'],1083,1290,3185
['visitkristinestad'],14,929,7300
['feljin_jose'],60,436,7986
['olooksafaris'],69,796,5727
['elliottontheroad'],16,1141,9235
['poranki_w_kenii'],39,1452,15.9K
['plasticfreelifebulgaria'],712,5961,61.7K
['worldpackers'],1169,213.4K,2.3M
['lensofthetraveler'],109,191,3064
['coolstays'],184,62.8K,794.9K
['ecosathi_nepal'],995,10.7K,280.4K
['n8one'],19,23,488
['gittemary'],355,23.4K,670.6K
